IP Address,Port Number
3.12.144.146,3128
103.152.112.120,80
45.239.175.19,8080
60.204.144.253,7000
47.74.46.81,8081
47.100.223.33,12080
185.105.102.179,80
47.74.46.81,80
8.211.200.183,9098
103.111.226.132,8080
39.101.65.228,8024
8.211.200.183,9080
103.152.112.157,80
88.198.121.95,3128
47.90.149.238,3128
47.91.89.3,9098
47.90.149.238,9098
27.71.26.42,8080
184.73.68.87,11
52.73.224.54,3128
218.78.55.172,8089
121.227.118.145,8089
36.150.4.6,12700
8.220.205.172,3749
8.211.42.167,8081
39.104.69.76,80
52.16.232.164,3128
54.248.238.110,80
47.91.104.88,3128
13.246.209.48,1080
219.65.73.81,80
8.209.96.245,45
203.150.128.171,8080
154.16.146.46,80
47.129.173.210,11
50.114.33.43,8080
39.104.69.76,3128
212.127.93.185,8081
8.215.12.103,88
3.90.100.12,3128
175.34.36.22,8888
8.213.195.191,9080
47.91.115.179,10250
47.90.167.27,1000
3.130.65.162,3128
113.45.57.16,8080
158.255.77.166,80
47.121.129.129,8080
8.221.139.222,9080
89.117.22.218,8080
8.211.195.173,80
3.126.147.182,80
8.213.222.157,100
46.51.249.135,3128
122.116.125.115,8888
52.196.1.182,80
31.40.248.2,8080
47.91.29.151,91
51.16.199.206,3128
54.179.39.14,3128
8.221.138.111,2000
13.56.192.187,80
157.254.53.50,80
47.238.128.246,100
8.221.139.222,80
39.102.211.162,3128
47.76.144.139,8080
47.237.113.119,8888
15.156.24.206,3128
101.66.199.106,8085
8.138.125.130,8080
8.211.195.173,1234
8.221.139.222,8008
43.202.154.212,80
67.43.236.19,25179
101.51.69.87,8080
54.152.3.36,80
3.126.147.182,3128
91.83.220.124,8080
8.213.222.247,77
106.120.217.4,18080
8.130.36.163,9098
3.124.133.93,3128
13.48.109.48,3128
58.144.141.26,12798
8.213.197.208,8080
79.110.200.148,8081
8.210.17.35,8004
204.236.137.68,80
47.238.128.246,9098
47.76.144.139,8081
8.220.204.215,808
47.238.134.126,8004
35.76.62.196,80
221.231.13.198,1080
47.122.57.58,8443
47.238.128.246,8080
18.223.25.15,80
14.103.37.14,9100
185.105.102.189,80
13.37.59.99,3128
8.210.17.35,100
8.220.204.215,90
101.66.198.57,8085
47.76.144.139,5060
8.211.200.183,1000
8.213.222.157,80
62.171.136.238,8080
35.79.120.242,3128
39.104.23.154,80
8.213.222.247,3128
196.251.131.87,8080
209.14.98.6,8080
67.43.236.18,11555
8.130.36.245,9001
39.101.65.228,9000
67.43.236.19,16475
8.213.215.187,143
8.221.141.88,1080
47.250.155.254,9080
110.43.221.121,7088
47.90.149.238,4145
206.84.201.101,999
198.74.51.79,8888
203.115.101.55,82
47.254.36.213,8081
8.211.194.85,8443
47.251.74.38,80
203.115.101.61,82
185.250.45.31,8888
8.211.195.139,8008
8.211.51.115,4022
47.105.122.72,8081
116.107.203.105,10030
44.195.247.145,80
203.115.101.51,82
67.43.236.19,26403
161.49.97.9,8095
8.209.96.245,3128
198.49.68.80,80
8.213.129.20,41
13.208.245.20,20201
3.212.148.199,3128
39.100.88.89,8008
47.238.130.212,3128
47.91.29.151,194
8.130.34.237,8000
184.169.154.119,80
78.80.228.150,80
47.254.36.213,45
15.236.106.236,3128
47.74.46.81,1000
20.206.106.192,8123
47.91.29.151,4145
162.223.90.130,80
93.171.157.249,8080
222.252.194.204,8080
8.220.205.172,9098
8.211.194.78,5060
67.43.228.250,26177
8.211.42.167,5060
106.42.30.243,82
5.45.126.128,8080
13.37.89.201,80
43.200.77.128,3128
2.50.142.185,3128
8.221.141.88,80
20.205.61.143,80
13.38.153.36,80
8.221.138.111,46691
60.190.106.114,8018
51.20.19.159,3128
8.213.222.157,9080
36.49.86.159,10004
39.101.65.228,5555
8.220.204.215,8008
8.211.42.167,1234
113.160.132.195,8080
192.99.182.243,3128
8.213.195.191,100
47.116.181.146,8090
8.213.215.187,80
43.201.121.81,80
185.58.16.1,8080
39.104.16.201,80
39.104.69.76,8081
13.59.156.167,3128
99.80.11.54,3128
150.136.247.129,1080
54.179.44.51,3128
3.71.239.218,3128
13.36.104.85,80
67.43.236.19,13809
3.78.92.159,80
72.10.160.90,11331
58.240.211.251,7890
8.215.12.103,3128
154.85.58.149,80
8.215.12.103,80
8.212.151.166,3128
18.228.149.161,80
8.146.200.53,9080
45.239.51.169,999
54.67.125.45,3128
51.20.50.149,3128
39.102.208.23,8081
18.185.169.150,3128
47.91.120.190,8888
8.211.195.173,8080
101.109.176.77,8080
20.111.54.16,8123
13.213.114.238,3128
8.130.36.245,4000
39.102.213.50,3128
44.218.183.55,80
8.211.194.85,9999
154.64.215.132,999
47.238.134.126,9080
3.255.250.250,11
39.102.214.208,3128
47.119.164.33,80
91.107.196.104,8585
181.215.253.112,5001
8.221.141.88,4145
219.79.89.247,8080
139.162.78.109,3128
111.34.79.216,10219
8.219.229.53,90
8.213.197.208,80
20.210.113.32,8123
8.213.222.247,8081
192.73.244.36,80
