5000,Bihar,Kunaolee,Primary Hospital,https://www.medindia.net/directories/hospitals/primary-hospital-kunaolee-bihar-83929.htm,Kunaolee - 847451, Bihar
5001,Bihar,Kutlupur Diyara,State Government Hospital,https://www.medindia.net/directories/hospitals/state-government-hospital-kutlupur-diyara-bihar-83881.htm,Kutlupur Diyara - 811106, Bihar
5002,Bihar,Lakhisarai,Chitranjan Sevasadan General,https://www.medindia.net/directories/hospitals/chitranjan-sevasadan-general-lakhisarai-bihar-98351.htm,Lakhisarai - 811311, Bihar
5003,Bihar,Lakhisarai,Dr Chandra Mohan Prasad,https://www.medindia.net/directories/hospitals/dr-chandra-mohan-prasad-lakhisarai-bihar-103646.htm,Lakhisarai - 811311, Bihar
5004,Bihar,Lakhisarai,Dr Naresh Mandal,https://www.medindia.net/directories/hospitals/dr-naresh-mandal-lakhisarai-bihar-87862.htm,Lakhisarai - 811311, Bihar
5005,Bihar,Lakhisarai,Dr Ramanuj,https://www.medindia.net/directories/hospitals/dr-ramanuj-lakhisarai-bihar-93728.htm,Lakhisarai - 811311, Bihar
5006,Bihar,Lakhisarai,Government Hospital,https://www.medindia.net/directories/hospitals/government-hospital-lakhisarai-bihar-72318.htm,Lakhisarai - 811302, Bihar
5007,Bihar,Lakhisarai,Hahneman Homeo Computrised Clinic Lakhisarai,https://www.medindia.net/directories/hospitals/hahneman-homeo-computrised-clinic-lakhisarai-lakhisarai-bihar-44302.htm,Lakhisarai - 811311, Bihar
5008,Bihar,Lakhisarai,Harsh Dental Clinic,https://www.medindia.net/directories/hospitals/harsh-dental-clinic-lakhisarai-bihar-42331.htm,Lakhisarai - 811311, Bihar
5009,Bihar,Lakhisarai,Maa Tara Haddi Avam Nas Jod Hospital,https://www.medindia.net/directories/hospitals/maa-tara-haddi-avam-nas-jod-hospital-lakhisarai-bihar-5848.htm,Lakhisarai - 811311, Bihar
5010,Bihar,Lakhisarai,Muskan Nursing Home,https://www.medindia.net/directories/hospitals/muskan-nursing-home-lakhisarai-bihar-410.htm,Lakhisarai - 811311, Bihar
5011,Bihar,Lakhisarai,Om Sai Eye Hospital,https://www.medindia.net/directories/hospitals/om-sai-eye-hospital-lakhisarai-bihar-94352.htm,Lakhisarai - 811311, Bihar
5012,Bihar,Lakhisarai,Shree Krishna Sewa Sadan,https://www.medindia.net/directories/hospitals/shree-krishna-sewa-sadan-lakhisarai-bihar-5139.htm,Lakhisarai - 811311, Bihar
5013,Bihar,Lal Darwaza,District Hospital,https://www.medindia.net/directories/hospitals/district-hospital-lal-darwaza-bihar-72393.htm,Lal Darwaza - 811201, Bihar
