State,State URL
Andaman and Nicobar Islands (UT),https://www.medindia.net/directories/hospitals/andaman-and-nicobar-islands/index.htm
Andhra Pradesh,https://www.medindia.net/directories/hospitals/andhra-pradesh/index.htm
Arunachal Pradesh,https://www.medindia.net/directories/hospitals/arunachal-pradesh/index.htm
Assam,https://www.medindia.net/directories/hospitals/assam/index.htm
Bihar,https://www.medindia.net/directories/hospitals/bihar/index.htm
Chandigarh (UT),https://www.medindia.net/directories/hospitals/chandigarh/index.htm
Chhattisgarh,https://www.medindia.net/directories/hospitals/chhattisgarh/index.htm
Dadra and Nagar Haveli and Daman and Diu (UT),https://www.medindia.net/directories/hospitals/dadra-and-nagar-haveli-and-daman-and-diu/index.htm
Delhi,https://www.medindia.net/directories/hospitals/delhi/index.htm
Delhi (UT),https://www.medindia.net/directories/hospitals/delhi/index.htm
Goa,https://www.medindia.net/directories/hospitals/goa/index.htm
Gujarat,https://www.medindia.net/directories/hospitals/gujarat/index.htm
Haryana,https://www.medindia.net/directories/hospitals/haryana/index.htm
Himachal Pradesh,https://www.medindia.net/directories/hospitals/himachal-pradesh/index.htm
Jammu and Kashmir (UT),https://www.medindia.net/directories/hospitals/jammu-and-kashmir/index.htm
Jharkhand,https://www.medindia.net/directories/hospitals/jharkhand/index.htm
Karnataka,https://www.medindia.net/directories/hospitals/karnataka/index.htm
Kerala,https://www.medindia.net/directories/hospitals/kerala/index.htm
Ladakh (UT),https://www.medindia.net/directories/hospitals/ladakh/index.htm
Lakshadweep (UT),https://www.medindia.net/directories/hospitals/lakshadweep/index.htm
Madhya Pradesh,https://www.medindia.net/directories/hospitals/madhya-pradesh/index.htm
Maharashtra,https://www.medindia.net/directories/hospitals/maharashtra/index.htm
Manipur,https://www.medindia.net/directories/hospitals/manipur/index.htm
Meghalaya,https://www.medindia.net/directories/hospitals/meghalaya/index.htm
Mizoram,https://www.medindia.net/directories/hospitals/mizoram/index.htm
Nagaland,https://www.medindia.net/directories/hospitals/nagaland/index.htm
Odisha,https://www.medindia.net/directories/hospitals/odisha/index.htm
Puducherry (UT),https://www.medindia.net/directories/hospitals/puducherry/index.htm
Punjab,https://www.medindia.net/directories/hospitals/punjab/index.htm
Rajasthan,https://www.medindia.net/directories/hospitals/rajasthan/index.htm
Sikkim,https://www.medindia.net/directories/hospitals/sikkim/index.htm
Tamil Nadu,https://www.medindia.net/directories/hospitals/tamil-nadu/index.htm
Telangana,https://www.medindia.net/directories/hospitals/telangana/index.htm
Tripura,https://www.medindia.net/directories/hospitals/tripura/index.htm
Uttar Pradesh,https://www.medindia.net/directories/hospitals/uttar-pradesh/index.htm
Uttarakhand,https://www.medindia.net/directories/hospitals/uttarakhand/index.htm
West Bengal,https://www.medindia.net/directories/hospitals/west-bengal/index.htm
